loan_id,timestamp,loan_amount,loan_tenor_months,location_branch,is_default
L00139,2025-09-20 12:10,14.842006530839402,36,Bantul,0
L00140,2025-09-20 12:15,13.562764390948724,12,Sleman,0
L00141,2025-09-20 12:31,15.531993167026908,6,Bantul,0
L00142,2025-09-20 12:42,14.493586739399039,6,Sleman,0
L00143,2025-09-20 12:51,15.01616155117966,24,Sleman,0
L00144,2025-09-20 13:00,15.754548288815464,6,Sleman,0
L00145,2025-09-20 13:07,15.53851230662666,12,Sleman,0
L00146,2025-09-20 13:12,14.826425780065923,24,Sleman,0
L00147,2025-09-20 13:16,15.092831495839683,12,Sleman,0
L00148,2025-09-20 13:32,14.775235421755305,24,Gunungkidul,0
L00149,2025-09-20 13:46,15.335064899879828,12,Sleman,0
L00150,2025-09-20 14:02,14.216397870604023,24,Sleman,0
L00151,2025-09-20 14:15,15.716450836227892,6,Bantul,0
L00152,2025-09-20 14:32,15.749411021436032,12,Gunungkidul,0
L00153,2025-09-20 14:48,14.707767580123873,6,Sleman,0
L00154,2025-09-20 14:53,14.50765023115908,12,Gunungkidul,0
L00155,2025-09-20 15:03,15.203077359188777,6,Sleman,0
L00156,2025-09-20 15:06,15.364003059634667,12,Bantul,0
L00157,2025-09-20 15:09,15.359546002833207,6,Gunungkidul,0
L00158,2025-09-20 15:23,13.558433988962092,12,Bantul,0
L00159,2025-09-20 15:33,15.44899404443615,6,Magelang,0
L00160,2025-09-20 15:40,13.74516427102367,12,Gunungkidul,0
L00161,2025-09-20 15:49,14.817174625971361,24,Sleman,0
L00162,2025-09-20 16:01,15.456231416517237,12,Sleman,0
L00163,2025-09-20 16:16,15.65065529372215,24,Gunungkidul,0
L00164,2025-09-20 16:27,15.347763708238563,12,Gunungkidul,0
L00165,2025-09-20 16:37,14.246146863309898,6,Bantul,0
L00166,2025-09-20 16:48,15.409033699584219,12,Sleman,0
L00167,2025-09-20 16:53,13.515464363808723,12,Bantul,0
L00168,2025-09-20 17:03,14.509311524759417,24,Sleman,0
L00169,2025-09-20 17:10,14.081185489965378,6,Bantul,0
L00170,2025-09-20 17:13,15.74728976242301,36,Magelang,0
L00171,2025-09-20 17:26,14.87827180973773,24,Sleman,0
L00172,2025-09-20 17:33,15.233652120359668,12,Bantul,0
L00173,2025-09-20 17:45,15.545189992609696,36,Sleman,0
L00174,2025-09-20 18:01,15.732736653502368,6,Gunungkidul,0
L00175,2025-09-20 18:04,15.757227499227685,24,Bantul,0
L00176,2025-09-20 18:13,14.264743078587152,12,Sleman,0
L00177,2025-09-20 18:20,14.93409768132224,12,Bantul,0
L00178,2025-09-20 18:27,14.95754848871872,6,Gunungkidul,0
L00179,2025-09-20 18:44,15.55166887078561,24,Gunungkidul,0
L00180,2025-09-20 18:47,14.802056937021774,12,Sleman,0
L00181,2025-09-20 18:58,14.510304881239545,12,Bantul,0
L00182,2025-09-20 19:06,15.503387677767565,36,Sleman,0
L00183,2025-09-20 19:10,15.12877336738202,6,Bantul,0
L00184,2025-09-20 19:16,15.494328067097491,36,Bantul,0
L00185,2025-09-20 19:21,14.903874174613248,12,Sleman,0
L00186,2025-09-20 19:31,15.113666088575792,24,Sleman,0
L00187,2025-09-20 19:37,13.234521735288132,12,Sleman,0
L00188,2025-09-20 19:50,13.312922578118018,24,Bantul,0
L00189,2025-09-20 19:55,13.126887129789777,24,Gunungkidul,0
L00190,2025-09-20 19:58,14.309498012084338,12,Kulon Progo,0
L00191,2025-09-20 20:11,14.830592675933943,24,Kulon Progo,0
L00192,2025-09-20 20:24,13.62522981068083,36,Gunungkidul,0
L00193,2025-09-20 20:30,14.250457442693865,24,Bantul,0
L00194,2025-09-20 20:33,15.608202092684301,36,Gunungkidul,0
L00195,2025-09-20 20:42,15.616349516927212,24,Sleman,0
L00196,2025-09-20 20:55,14.684087266421772,12,Bantul,0
L00197,2025-09-20 20:58,15.710440596667503,24,Kulon Progo,0
L00198,2025-09-20 21:03,14.051766169267468,24,Bantul,0
L00199,2025-09-20 21:14,13.464677090759022,6,Bantul,0
L00200,2025-09-20 21:22,14.845887188387112,6,Bantul,0
L00201,2025-09-20 21:38,14.613360037605036,12,Gunungkidul,0
L00202,2025-09-20 21:42,13.817888727875179,24,Sleman,0
L00203,2025-09-20 21:56,15.608676038295306,24,Sleman,0
L00204,2025-09-20 22:07,15.741592856548163,24,Kulon Progo,0
L00205,2025-09-20 22:14,14.629788054670271,6,Magelang,0
L00206,2025-09-20 22:28,14.750643456039484,6,Bantul,0
L00207,2025-09-20 22:34,15.458286916893421,12,Sleman,0
L00208,2025-09-20 22:45,15.697253012355475,24,Gunungkidul,0
L00209,2025-09-20 22:54,14.67609236615634,24,Gunungkidul,0
L00210,2025-09-20 23:10,15.412417687039552,24,Sleman,0
L00211,2025-09-20 23:14,13.3853059361659,6,Gunungkidul,0
L00212,2025-09-20 23:17,15.245749074583456,24,Magelang,0
L00213,2025-09-20 23:29,15.749424178416668,12,Bantul,0
L00214,2025-09-20 23:37,15.093866360906402,36,Sleman,0
L00215,2025-09-20 23:54,15.35666813071462,24,Gunungkidul,0
L00216,2025-09-21 00:02,15.418522065219316,12,Bantul,0
L00217,2025-09-21 00:12,15.343707178042447,24,Gunungkidul,0
L00218,2025-09-21 00:19,15.41707556021187,12,Bantul,0
L00219,2025-09-21 00:30,15.650270447219834,24,Bantul,0
L00220,2025-09-21 00:39,13.25055780372608,24,Magelang,0
L00221,2025-09-21 00:42,15.648079701636693,24,Bantul,0
L00222,2025-09-21 00:53,15.671901512758573,6,Bantul,0
L00223,2025-09-21 01:02,15.668067339979173,24,Bantul,0
L00224,2025-09-21 01:07,14.877376908695222,6,Gunungkidul,0
L00225,2025-09-21 01:16,15.271679102101997,24,Bantul,0
L00226,2025-09-21 01:22,14.843799089910437,36,Sleman,0
L00227,2025-09-21 01:26,15.600922759172047,6,Sleman,0
L00228,2025-09-21 01:31,14.960637089523342,12,Bantul,0
L00229,2025-09-21 01:45,14.745524691718181,24,Sleman,0
L00230,2025-09-21 01:52,15.415774316242125,24,Gunungkidul,0
L00231,2025-09-21 02:02,13.618132214536091,6,Gunungkidul,0
L00232,2025-09-21 02:14,14.895319160228572,36,Gunungkidul,0
L00233,2025-09-21 02:26,14.42574721425953,36,Bantul,0
L00234,2025-09-21 02:36,14.890479533334908,24,Sleman,0
L00235,2025-09-21 02:43,15.044222607939584,12,Gunungkidul,0
L00236,2025-09-21 02:50,13.723967473737194,12,Sleman,0
L00237,2025-09-21 02:59,15.627124450532692,6,Bantul,0
L00238,2025-09-21 03:16,14.981211550787323,24,Sleman,0
L00239,2025-09-21 03:24,14.856586949789985,6,Magelang,0
L00240,2025-09-21 03:36,14.201868277042118,12,Gunungkidul,0
L00241,2025-09-21 03:43,15.757505624504473,6,Magelang,0
L00242,2025-09-21 03:50,15.617439970892526,24,Magelang,0
L00243,2025-09-21 04:02,15.105357067376504,12,Sleman,0
L00244,2025-09-21 04:05,14.799206822168905,24,Gunungkidul,0
L00245,2025-09-21 04:12,15.07926207348394,6,Bantul,0
L00246,2025-09-21 04:18,15.724406779978848,12,Bantul,0
L00247,2025-09-21 04:22,14.47770923609653,12,Bantul,0
L00248,2025-09-21 04:32,15.414783582529497,12,Sleman,0
L00249,2025-09-21 04:37,15.667603469365185,6,Bantul,0
L00250,2025-09-21 04:43,15.50468066833029,12,Bantul,0
L00251,2025-09-21 04:55,15.63294069791324,12,Sleman,0
L00252,2025-09-21 05:02,15.711687548370586,36,Bantul,0
L00253,2025-09-21 05:15,13.69894190964102,12,Sleman,0
L00254,2025-09-21 05:32,14.534849714312475,6,Gunungkidul,0
L00255,2025-09-21 05:41,14.179250486025124,6,Sleman,0
L00256,2025-09-21 05:58,15.247588663738089,12,Bantul,0
L00257,2025-09-21 06:05,14.962381440972177,6,Sleman,0
L00258,2025-09-21 06:15,13.547262417397892,24,Gunungkidul,0
L00259,2025-09-21 06:25,15.232393288227147,24,Gunungkidul,0
L00260,2025-09-21 06:40,13.959552025745987,6,Sleman,0
L00261,2025-09-21 06:47,14.962130800192943,24,Sleman,0
L00262,2025-09-21 06:54,14.874277805293481,6,Bantul,0
L00263,2025-09-21 07:04,15.657388673617678,24,Magelang,0
L00264,2025-09-21 07:18,15.41211912515765,6,Bantul,0
L00265,2025-09-21 07:34,15.332237828864763,12,Gunungkidul,0
L00266,2025-09-21 07:50,15.59148086515887,24,Gunungkidul,0
L00267,2025-09-21 07:53,14.330390153272079,12,Gunungkidul,0
L00268,2025-09-21 08:08,14.588682599884665,6,Sleman,0
L00269,2025-09-21 08:15,15.500080988953714,24,Sleman,0
L00270,2025-09-21 08:27,15.496152601913485,24,Bantul,0
L00271,2025-09-21 08:41,13.367424964019468,24,Bantul,0
L00272,2025-09-21 08:56,14.487379452979766,12,Bantul,0
L00273,2025-09-21 09:02,14.496660559305447,6,Sleman,0
L00274,2025-09-21 09:05,13.1981422385595,12,Sleman,0
L00275,2025-09-21 09:21,15.383818303397858,24,Gunungkidul,0
L00276,2025-09-21 09:29,13.65731755226889,6,Sleman,0
L00277,2025-09-21 09:43,15.602077402153101,6,Sleman,0
L00278,2025-09-21 09:57,15.275550611336733,24,Sleman,0
L00279,2025-09-21 10:09,15.511354764362187,24,Bantul,0
L00280,2025-09-21 10:18,15.132310135946346,12,Bantul,0
L00281,2025-09-21 10:22,15.733414453236445,24,Bantul,0
L00282,2025-09-21 10:27,14.629885500957512,6,Bantul,0
L00283,2025-09-21 10:39,15.23301866183553,12,Bantul,0
L00284,2025-09-21 10:53,13.204057643580922,24,Sleman,0
L00285,2025-09-21 11:03,15.59280389544102,6,Bantul,0
L00286,2025-09-21 11:15,15.248704726225496,12,Gunungkidul,0
L00287,2025-09-21 11:24,14.31225956947507,12,Sleman,0
L00288,2025-09-21 11:34,15.575855724574179,12,Sleman,0
L00289,2025-09-21 11:50,15.751363589036306,24,Sleman,0
L00290,2025-09-21 11:58,13.75951358703537,36,Sleman,0
L00291,2025-09-21 12:14,15.606831764502598,12,Sleman,0
L00292,2025-09-21 12:18,15.48077742311861,24,Kulon Progo,0
L00293,2025-09-21 12:21,14.84645374143723,36,Sleman,0
L00294,2025-09-21 12:36,15.346884653428432,24,Gunungkidul,0
L00295,2025-09-21 12:46,15.539192450980542,24,Sleman,0
L00296,2025-09-21 12:52,15.100825625175961,6,Sleman,0
L00297,2025-09-21 12:55,15.390784056591263,24,Bantul,0
L00298,2025-09-21 13:07,13.609984650568473,12,Sleman,0
L00299,2025-09-21 13:16,15.689541633639825,6,Magelang,0
L00300,2025-09-21 13:23,15.687807227968612,12,Bantul,0
L00301,2025-09-21 13:40,14.439671474158297,6,Gunungkidul,0
L00302,2025-09-21 13:46,15.097379244104374,6,Sleman,0
L00303,2025-09-21 14:02,14.534178788353486,12,Sleman,0
L00304,2025-09-21 14:11,14.946088458919427,6,Gunungkidul,0
L00305,2025-09-21 14:16,14.643741363312824,24,Sleman,0
L00306,2025-09-21 14:29,15.623732277715314,36,Sleman,0
L00307,2025-09-21 14:44,15.428123026159907,24,Gunungkidul,0
L00308,2025-09-21 14:50,15.606646332735371,12,Sleman,0
L00309,2025-09-21 15:01,15.54784215773204,12,Bantul,0
L00310,2025-09-21 15:05,15.469385745907749,6,Magelang,0
L00311,2025-09-21 15:17,14.274998465303439,12,Bantul,0
L00312,2025-09-21 15:27,15.588909160060293,12,Sleman,0
L00313,2025-09-21 15:42,15.536502904080002,12,Kulon Progo,0
L00314,2025-09-21 15:53,14.084113781129368,6,Kulon Progo,0
L00315,2025-09-21 15:59,13.883550442169726,36,Bantul,0
L00316,2025-09-21 16:11,15.5103831383687,6,Gunungkidul,0
L00317,2025-09-21 16:19,14.926106093209764,12,Gunungkidul,0
L00318,2025-09-21 16:28,14.783338914374937,12,Bantul,0
L00319,2025-09-21 16:40,14.939605391046882,12,Sleman,0
L00320,2025-09-21 16:48,15.63012632063391,36,Sleman,0
L00321,2025-09-21 16:54,14.867740281868148,6,Sleman,0
L00322,2025-09-21 16:59,14.882461886404188,6,Sleman,0
L00323,2025-09-21 17:16,14.945389574651273,6,Sleman,0
L00324,2025-09-21 17:23,13.65648669008737,12,Sleman,0
L00325,2025-09-21 17:38,13.51908638445565,12,Sleman,0
L00326,2025-09-21 17:44,14.97661928413573,24,Bantul,0
L00327,2025-09-21 17:57,13.320082448378288,24,Sleman,0
L00328,2025-09-21 18:01,15.505431265834469,6,Magelang,0
L00329,2025-09-21 18:07,14.996787345175893,36,Bantul,0
L00330,2025-09-21 18:24,15.138880827387132,24,Kulon Progo,0
L00331,2025-09-21 18:40,14.802982325546918,12,Sleman,0
L00332,2025-09-21 18:45,15.51362231472308,12,Sleman,0
L00333,2025-09-21 18:55,15.002990194686147,24,Gunungkidul,0
L00334,2025-09-21 19:06,13.499813025039456,12,Bantul,0
L00335,2025-09-21 19:21,15.116787189821215,12,Sleman,0
L00336,2025-09-21 19:30,14.317235697655002,6,Gunungkidul,0
L00337,2025-09-21 19:46,15.289736122903358,12,Bantul,0
L00338,2025-09-21 19:57,15.241855095829695,12,Kulon Progo,0
L00339,2025-09-21 20:04,15.092190646795979,6,Bantul,0
L00340,2025-09-21 20:15,14.915635036030785,36,Bantul,0
L00341,2025-09-21 20:19,15.291169504272919,6,Sleman,0
L00342,2025-09-21 20:29,15.409051378560228,12,Sleman,0
L00343,2025-09-21 20:33,15.641787872253555,12,Sleman,0
L00344,2025-09-21 20:40,15.726030806923374,24,Sleman,0
L00345,2025-09-21 20:53,13.855156180830635,6,Gunungkidul,0
L00346,2025-09-21 21:01,15.381853686715093,24,Sleman,0
L00347,2025-09-21 21:18,13.864529267443809,12,Gunungkidul,0
L00348,2025-09-21 21:23,14.9826717529147,6,Magelang,0
L00349,2025-09-21 21:39,15.486679303666659,6,Bantul,0
L00350,2025-09-21 21:48,15.20812664480237,12,Bantul,0
L00351,2025-09-21 22:00,15.564826927724534,12,Gunungkidul,0
L00352,2025-09-21 22:08,15.677009530991105,6,Bantul,0
L00353,2025-09-21 22:18,15.736869198759246,12,Gunungkidul,0
L00354,2025-09-21 22:35,15.399513937653296,12,Gunungkidul,0
L00355,2025-09-21 22:40,15.400064619523128,36,Sleman,0
L00356,2025-09-21 22:44,15.55959596494936,24,Bantul,0
L00357,2025-09-21 22:55,14.515996742035917,6,Sleman,0
L00358,2025-09-21 23:06,14.715619060983716,12,Bantul,0
L00359,2025-09-21 23:22,14.815494066359825,6,Sleman,0
L00360,2025-09-21 23:39,15.490378094385843,12,Bantul,0
L00361,2025-09-21 23:50,14.838977156748637,12,Gunungkidul,0
L00362,2025-09-22 00:06,14.156475544197606,36,Sleman,0
L00363,2025-09-22 00:10,15.554436424331506,12,Sleman,0
L00364,2025-09-22 00:23,15.496997839367534,24,Bantul,0
L00365,2025-09-22 00:33,15.288501746608297,12,Sleman,0
L00366,2025-09-22 00:41,15.644907917829885,12,Sleman,0
L00367,2025-09-22 00:56,15.54663268654501,6,Sleman,0
L00368,2025-09-22 01:09,15.664203452761353,6,Sleman,0
L00369,2025-09-22 01:13,14.598715969137602,24,Sleman,0
L00370,2025-09-22 01:30,14.044903342084405,24,Bantul,0
L00371,2025-09-22 01:40,14.816149423541901,12,Gunungkidul,0
L00372,2025-09-22 01:51,15.589485142882943,12,Bantul,0
L00373,2025-09-22 01:56,15.688911763430301,12,Sleman,0
L00374,2025-09-22 02:04,14.00991548260099,12,Sleman,0
L00375,2025-09-22 02:17,15.6173515375599,24,Sleman,0
L00376,2025-09-22 02:20,15.099102257090834,6,Bantul,0
L00377,2025-09-22 02:28,15.576264278628674,12,Bantul,0
L00378,2025-09-22 02:38,15.412144852791348,24,Sleman,0
L00379,2025-09-22 02:54,13.699123921888024,12,Bantul,0
L00380,2025-09-22 02:58,15.109585458083968,6,Sleman,0
L00381,2025-09-22 03:14,13.89079333975883,12,Gunungkidul,0
L00382,2025-09-22 03:21,14.812242564227544,24,Sleman,0
L00383,2025-09-22 03:27,15.50637452849366,36,Kulon Progo,0
L00384,2025-09-22 03:39,15.413854762138312,24,Sleman,0
L00385,2025-09-22 03:48,15.440864732019739,12,Sleman,0
L00386,2025-09-22 03:55,15.383232951804354,24,Sleman,0
L00387,2025-09-22 04:01,13.297421955843268,12,Sleman,0
L00388,2025-09-22 04:07,15.271518230991584,12,Bantul,0
L00389,2025-09-22 04:13,15.11094186115865,6,Bantul,0
L00390,2025-09-22 04:24,15.185367308762482,12,Bantul,0
L00391,2025-09-22 04:33,14.44842035422166,12,Sleman,0
L00392,2025-09-22 04:37,15.442259761598246,36,Sleman,0
L00393,2025-09-22 04:43,15.308197551925756,12,Bantul,0
L00394,2025-09-22 04:59,14.953260543519397,36,Magelang,0
L00395,2025-09-22 05:14,13.673601311781582,12,Bantul,0
L00396,2025-09-22 05:31,13.76104803635089,6,Kulon Progo,0
L00397,2025-09-22 05:44,14.857032783397656,36,Magelang,0
L00398,2025-09-22 06:01,15.200167328965087,12,Sleman,0
L00399,2025-09-22 06:14,15.758535978760522,12,Kulon Progo,0
L00400,2025-09-22 06:17,15.464642533042568,6,Gunungkidul,0
L00401,2025-09-22 06:28,15.111614038279635,24,Sleman,0
L00402,2025-09-22 06:31,14.709367524131432,6,Gunungkidul,0
L00403,2025-09-22 06:36,14.28298223452139,36,Bantul,0
L00404,2025-09-22 06:40,14.162557400128472,6,Sleman,0
L00405,2025-09-22 06:43,13.782233983363522,6,Sleman,0
L00406,2025-09-22 06:59,15.676013445346163,24,Gunungkidul,0
L00407,2025-09-22 07:04,13.309992490834011,12,Sleman,0
L00408,2025-09-22 07:20,15.62615278709575,12,Magelang,0
L00409,2025-09-22 07:27,15.272450690445831,12,Gunungkidul,0
L00410,2025-09-22 07:30,15.323983391749634,12,Bantul,0
L00411,2025-09-22 07:38,15.722270528521536,12,Bantul,0
L00412,2025-09-22 07:42,15.540586451513821,6,Kulon Progo,0
L00413,2025-09-22 07:49,14.19142738377556,12,Sleman,0
L00414,2025-09-22 07:56,15.732026469807904,6,Gunungkidul,0
L00415,2025-09-22 07:59,14.3129420798989,24,Bantul,0
L00416,2025-09-22 08:06,15.250638891817797,24,Gunungkidul,0
L00417,2025-09-22 08:10,15.35542774533552,12,Sleman,0
L00418,2025-09-22 08:13,14.551324909658584,12,Gunungkidul,0
L00419,2025-09-22 08:25,15.34086183037461,12,Gunungkidul,0
L00420,2025-09-22 08:29,15.352867550078516,24,Bantul,0
L00421,2025-09-22 08:42,15.742548309782379,12,Sleman,0
L00422,2025-09-22 08:55,15.67879331669175,24,Sleman,0
L00423,2025-09-22 09:10,14.946269882266785,6,Gunungkidul,0
L00424,2025-09-22 09:21,15.422137322822968,12,Sleman,0
L00425,2025-09-22 09:30,15.579569211158251,6,Gunungkidul,0
