transaction_id,timestamp,amount,merchant_category,location,is_international,transaction_frequency_24h,device_risk_score,is_fraud
H00031,2025-09-19 14:06,11.910230705056257,e-commerce,Online,0,3,0.23568264374798206,0
H00032,2025-09-19 14:11,12.855330632520394,e-commerce,Online,0,3,0.12445923796088218,0
H00033,2025-09-19 14:17,11.0581808229708,e-commerce,Online,0,3,0.22263944119522122,0
H00034,2025-09-19 14:19,12.129796170025516,e-commerce,Online,0,2,0.16786542403490598,0
H00035,2025-09-19 14:23,12.621283443091837,e-commerce,Online,0,1,0.19760166553232114,0
H00036,2025-09-19 14:27,11.255345736334892,subscription,Online,0,3,0.16778645675802886,0
H00037,2025-09-19 14:30,12.895465286619547,e-commerce,Online,0,2,0.2256215561839628,0
H00038,2025-09-19 14:33,12.749442900771891,subscription,Jakarta,0,1,0.2219179498793161,0
H00039,2025-09-19 14:36,12.796444853921011,e-commerce,Online,0,3,0.058828941835616586,0
H00040,2025-09-19 14:38,12.71446430961804,e-commerce,Online,0,2,0.14146472455688222,0
H00041,2025-09-19 14:44,12.97215425276578,retail,Online,0,3,0.1289862154676923,0
H00042,2025-09-19 14:50,12.9226604357396,subscription,Online,0,3,0.06979746959628862,0
H00043,2025-09-19 14:52,12.931297298477581,e-commerce,Online,0,1,0.07513140312885082,0
H00044,2025-09-19 14:56,12.026413541261865,e-commerce,Online,0,3,0.24748280207171172,0
H00045,2025-09-19 15:00,12.966841090687595,e-commerce,Online,0,3,0.20887335381310002,0
H00046,2025-09-19 15:03,11.910385282740252,subscription,Online,0,3,0.11017626468906183,0
H00047,2025-09-19 15:09,11.031399710249099,subscription,Online,0,1,0.06700843974962464,0
H00048,2025-09-19 15:11,13.284233896729656,travel,Online,0,3,0.09815723268802928,0
H00049,2025-09-19 15:13,11.906898120433075,travel,Online,0,3,0.09393619225714805,0
H00050,2025-09-19 15:18,11.630966245185407,e-commerce,Online,0,3,0.21560963200623579,0
H00051,2025-09-19 15:20,12.286393775978953,e-commerce,Online,0,2,0.09369331650996633,0
H00052,2025-09-19 15:21,11.84946198523949,e-commerce,Online,0,6,0.9742880493511462,1
H00053,2025-09-19 15:26,13.171770494076563,e-commerce,Online,0,2,0.22519514321916875,0
H00054,2025-09-19 15:28,13.008047324810637,e-commerce,Online,0,1,0.1627909246583965,0
H00055,2025-09-19 15:34,11.941169159967732,retail,Jakarta,0,3,0.24006433851219466,0
H00056,2025-09-19 15:38,12.889492670331537,e-commerce,Online,0,2,0.027731669332428155,0
H00057,2025-09-19 15:43,13.138356798091902,e-commerce,Online,0,1,0.2400483505511699,0
H00058,2025-09-19 15:45,12.375313184313336,e-commerce,Online,0,2,0.2386086609720517,0
H00059,2025-09-19 15:51,12.16817865189521,e-commerce,Online,0,1,0.13717365932983416,0
H00060,2025-09-19 15:54,13.175509753774417,e-commerce,Online,0,2,0.22102334375012314,0
H00061,2025-09-19 15:57,11.714346787732115,subscription,Online,0,2,0.23372841484602264,0
H00062,2025-09-19 15:59,13.21864399527219,e-commerce,Online,0,3,0.23354963172529858,0
H00063,2025-09-19 16:01,12.655481271132492,retail,Online,0,3,0.17617615896667346,0
H00064,2025-09-19 16:05,13.010396644219341,e-commerce,Online,0,2,0.22888580009412873,0
H00065,2025-09-19 16:09,12.447460748225339,e-commerce,Bandung,0,3,0.06353762069879282,0
H00066,2025-09-19 16:15,12.995527235768135,subscription,Online,0,1,0.14679483290091996,0
H00067,2025-09-19 16:18,13.233387623816158,e-commerce,Online,0,3,0.22913601046686022,0
H00068,2025-09-19 16:23,12.679931334475404,e-commerce,Online,0,1,0.24989316618657897,0
H00069,2025-09-19 16:25,11.782028511220588,e-commerce,Online,0,5,0.8335541646576243,1
H00070,2025-09-19 16:27,11.438309671589439,e-commerce,Online,0,3,0.028488078445941412,0
H00071,2025-09-19 16:29,13.234137283239319,e-commerce,Online,0,1,0.24984346897806772,0
H00072,2025-09-19 16:32,13.303794537913136,e-commerce,Online,0,1,0.20131541547454598,0
H00073,2025-09-19 16:37,12.919296925519298,e-commerce,Online,0,3,0.24162322411607834,0
H00074,2025-09-19 16:42,10.977738840291302,retail,Online,0,3,0.18596680384279565,0
H00075,2025-09-19 16:44,12.375659289786103,e-commerce,Online,0,5,0.9432534078469048,1
H00076,2025-09-19 16:48,12.683762286566745,e-commerce,Online,0,1,0.20875462506334155,0
H00077,2025-09-19 16:54,12.092836755917517,subscription,Online,0,2,0.13839479293286375,0
H00078,2025-09-19 17:00,12.436882733705378,e-commerce,Online,0,2,0.09302593087609923,0
H00079,2025-09-19 17:06,13.249908387342012,retail,Online,0,3,0.030579225695703746,0
H00080,2025-09-19 17:11,13.075005487040897,e-commerce,Online,0,3,0.06569556581169297,0
H00081,2025-09-19 17:13,12.843540611812523,e-commerce,Jakarta,0,3,0.05967283611722757,0
H00082,2025-09-19 17:19,13.027349153800646,travel,Online,0,2,0.022862109026274318,0
H00083,2025-09-19 17:22,13.154303807337227,e-commerce,Online,0,1,0.13289710692921947,0
H00084,2025-09-19 17:28,12.887724001576634,retail,Online,0,3,0.06386092126668864,0
H00085,2025-09-19 17:30,12.39494354183562,e-commerce,Online,0,6,0.8649185088555655,1
H00086,2025-09-19 17:33,11.41978991893497,e-commerce,Online,0,1,0.18889975070119364,0
H00087,2025-09-19 17:37,11.676217095857377,e-commerce,Online,0,1,0.060060801622400406,0
H00088,2025-09-19 17:39,12.102199911465132,e-commerce,Online,0,2,0.08938358514348835,0
H00089,2025-09-19 17:41,13.066271218441969,e-commerce,Online,0,1,0.09204407083254601,0
H00090,2025-09-19 17:46,11.530647497957846,e-commerce,Online,0,2,0.1620181351014813,0
H00091,2025-09-19 17:52,11.69437163872823,e-commerce,Online,0,1,0.2390602589011028,0
H00092,2025-09-19 17:57,13.285225148125335,travel,Online,0,3,0.21182468471185983,0
H00093,2025-09-19 18:03,12.506988020318774,travel,Online,0,2,0.05926341962742554,0
H00094,2025-09-19 18:07,11.697585951002058,e-commerce,Online,0,1,0.15596323649134888,0
H00095,2025-09-19 18:13,13.180375648826338,e-commerce,Bandung,0,3,0.1741060228470757,0
H00096,2025-09-19 18:19,13.274150122481077,e-commerce,Online,0,2,0.08237036365075959,0
H00097,2025-09-19 18:23,12.698553019509296,retail,Online,0,1,0.020224172493267203,0
H00098,2025-09-19 18:26,11.626182719154661,e-commerce,Online,0,2,0.14299846290814394,0
H00099,2025-09-19 18:28,12.887073861596562,subscription,Online,0,3,0.22129478708265296,0
H00100,2025-09-19 18:33,13.169680075603374,e-commerce,Online,0,3,0.040387395030907894,0
H00101,2025-09-19 18:37,13.272507757002963,travel,Online,0,2,0.0995797384953627,0
H00102,2025-09-19 18:41,12.81051701943951,e-commerce,Online,0,3,0.09764271394429577,0
H00103,2025-09-19 18:43,13.25221375339236,e-commerce,Online,0,1,0.1530044923939127,0
H00104,2025-09-19 18:47,13.137153462876965,e-commerce,Online,0,3,0.08064902083625944,0
H00105,2025-09-19 18:52,11.840436238789916,retail,Online,0,3,0.19861448053905456,0
H00106,2025-09-19 18:57,12.896012187112344,e-commerce,Online,0,2,0.12209280848282124,0
H00107,2025-09-19 19:01,12.93880345415105,e-commerce,Online,0,2,0.20722648943627367,0
H00108,2025-09-19 19:05,13.066556755364362,e-commerce,Online,0,2,0.18500864154669278,0
H00109,2025-09-19 19:09,12.743267524316233,subscription,Online,0,1,0.13221982832225548,0
H00110,2025-09-19 19:11,13.021320195302103,e-commerce,Online,0,3,0.14849817480289182,0
H00111,2025-09-19 19:15,12.824983768810771,e-commerce,Online,0,3,0.154629432730937,0
H00112,2025-09-19 19:17,12.170979004287638,e-commerce,Online,0,3,0.18521526967590762,0
H00113,2025-09-19 19:23,12.664263022261219,e-commerce,Online,0,1,0.22471079766459096,0
H00114,2025-09-19 19:25,13.243300544664772,travel,Online,0,3,0.21752577089091163,0
H00115,2025-09-19 19:31,13.148989728872039,e-commerce,Online,0,2,0.19438639693122278,0
H00116,2025-09-19 19:37,12.909185008318154,e-commerce,Online,0,3,0.10860400985208546,0
H00117,2025-09-19 19:41,12.332925536526098,retail,Online,0,3,0.20612345573444874,0
H00118,2025-09-19 19:43,11.99007227087421,subscription,Jakarta,0,3,0.24391433146412692,0
H00119,2025-09-19 19:46,12.240763885320105,retail,Online,0,3,0.0943467255602816,0
H00120,2025-09-19 19:48,12.29373547694395,e-commerce,Online,0,1,0.17126524220520756,0
H00121,2025-09-19 19:51,13.268900576672797,retail,Jakarta,0,1,0.19246116804120428,0
H00122,2025-09-19 19:53,12.746007455912643,travel,Online,0,1,0.19808192421616672,0
H00123,2025-09-19 19:57,12.487402082654178,e-commerce,Online,0,2,0.17017120715172895,0
H00124,2025-09-19 19:59,13.190031371628864,e-commerce,Online,0,3,0.10993626462911237,0
H00125,2025-09-19 20:00,12.315397791644166,subscription,Online,0,5,0.9274311743325643,1
H00126,2025-09-19 20:05,13.09851116158165,retail,Online,0,2,0.10316960711189001,0
H00127,2025-09-19 20:10,12.90618054398571,subscription,Online,0,3,0.23455447818697484,0
H00128,2025-09-19 20:16,12.283621476846765,subscription,Online,0,1,0.21097352193709276,0
H00129,2025-09-19 20:19,13.268107391457034,retail,Online,0,2,0.022534010098685553,0
H00130,2025-09-19 20:23,12.96843800552666,e-commerce,Online,0,2,0.10592776829890474,0
H00131,2025-09-19 20:25,13.295126060049274,e-commerce,Online,0,1,0.13624293141347826,0
H00132,2025-09-19 20:29,10.837853931137513,e-commerce,Online,0,2,0.18949550165204446,0
H00133,2025-09-19 20:34,12.22805426963656,retail,Online,0,3,0.1597553246791842,0
H00134,2025-09-19 20:39,12.358591995462083,subscription,Online,0,3,0.2335280225627137,0
H00135,2025-09-19 20:44,12.950062644028389,e-commerce,Jakarta,0,3,0.19188675897462315,0
H00136,2025-09-19 20:46,12.340008956164333,subscription,Online,0,5,0.8908307729588285,1
H00137,2025-09-19 20:52,11.668432367568627,e-commerce,Online,0,2,0.17824036704565044,0
H00138,2025-09-19 20:56,11.799314201423455,e-commerce,Online,0,1,0.2291389515034007,0
H00139,2025-09-19 21:00,12.9508535625207,e-commerce,Online,0,3,0.13635882191637952,0
H00140,2025-09-19 21:03,12.406430564810227,e-commerce,Bandung,0,2,0.14454036594843123,0
H00141,2025-09-19 21:05,12.981458582221611,retail,Bandung,0,2,0.20501497215399403,0
H00142,2025-09-19 21:09,10.831192889225537,e-commerce,Online,0,1,0.07454077594120426,0
H00143,2025-09-19 21:15,12.730366168621227,subscription,Online,0,3,0.13302528814441258,0
H00144,2025-09-19 21:20,11.046483485513047,e-commerce,Jakarta,0,3,0.1994185593318899,0
H00145,2025-09-19 21:23,13.259080689593262,e-commerce,Online,0,3,0.19089457999542278,0
H00146,2025-09-19 21:26,11.77767918011764,retail,Online,0,1,0.23322559580217736,0
H00147,2025-09-19 21:30,11.904041448368268,travel,Online,0,3,0.20837589544866342,0
H00148,2025-09-19 21:34,11.571430194342792,retail,Online,0,2,0.05912967326115717,0
H00149,2025-09-19 21:37,12.050897274219205,e-commerce,Online,0,1,0.22365075870222495,0
H00150,2025-09-19 21:39,11.86133333059104,e-commerce,Online,0,7,0.8131629642826822,1
H00151,2025-09-19 21:44,12.873006745674163,e-commerce,Jakarta,0,2,0.05949916991236372,0
H00152,2025-09-19 21:49,13.208546578217387,e-commerce,Online,0,2,0.09829876953323435,0
H00153,2025-09-19 21:55,13.18591265940617,e-commerce,Online,0,1,0.047969344374702794,0
H00154,2025-09-19 22:00,11.477847359357364,e-commerce,Online,0,2,0.23919863555707632,0
H00155,2025-09-19 22:04,12.56108621014224,e-commerce,Online,0,3,0.13610989198048162,0
H00156,2025-09-19 22:06,13.177629668976078,e-commerce,Online,0,3,0.1441019469011909,0
H00157,2025-09-19 22:12,11.856593180501754,e-commerce,Online,0,3,0.04806875700175413,0
H00158,2025-09-19 22:14,12.942008685063707,e-commerce,Online,0,2,0.1261946441305495,0
H00159,2025-09-19 22:17,12.559314202134372,e-commerce,Online,0,3,0.21886096307343092,0
H00160,2025-09-19 22:21,11.869851377413731,retail,Online,0,1,0.20822763296652497,0
H00161,2025-09-19 22:27,11.338036219993569,e-commerce,Online,0,3,0.20112298264914605,0
H00162,2025-09-19 22:32,12.25179143117512,subscription,Online,0,2,0.18395023845424996,0
H00163,2025-09-19 22:35,10.829887018558571,e-commerce,Online,0,2,0.20192929114804448,0
H00164,2025-09-19 22:37,11.941188709354371,e-commerce,Online,0,7,0.9336635483663104,1
H00165,2025-09-19 22:40,12.770539505110676,travel,Online,0,3,0.17087162667265368,0
H00166,2025-09-19 22:43,13.090077760781359,subscription,Jakarta,0,1,0.053883407138108436,0
H00167,2025-09-19 22:47,12.700653026996191,e-commerce,Online,0,2,0.14432626502175855,0
H00168,2025-09-19 22:51,13.014346002085217,e-commerce,Online,0,3,0.03185493023449123,0
H00169,2025-09-19 22:56,11.415731511978796,subscription,Bandung,0,2,0.17318916757968328,0
H00170,2025-09-19 23:02,12.2896138417345,e-commerce,Online,0,1,0.2314076920947586,0
H00171,2025-09-19 23:06,12.929479838736853,e-commerce,Online,0,2,0.13710068075401677,0
H00172,2025-09-19 23:09,11.288330861388705,e-commerce,Online,0,3,0.0915355465874308,0
H00173,2025-09-19 23:12,12.824401986655612,e-commerce,Online,0,3,0.11609187254342086,0
H00174,2025-09-19 23:15,11.869256349727388,retail,Online,0,1,0.2041106261293921,0
H00175,2025-09-19 23:19,12.545016824383165,e-commerce,Online,0,2,0.14236780075664365,0
H00176,2025-09-19 23:20,12.380009145789687,e-commerce,Online,0,6,0.770307298797115,1
H00177,2025-09-19 23:24,13.292173660261213,e-commerce,Jakarta,0,1,0.1938522011542042,0
H00178,2025-09-19 23:28,11.509981134680778,e-commerce,Online,0,1,0.10480365176995807,0
H00179,2025-09-19 23:32,12.773455335696312,retail,Online,0,1,0.17088872410058958,0
H00180,2025-09-19 23:35,12.751464899757911,e-commerce,Online,0,2,0.07610873249160861,0
H00181,2025-09-19 23:41,11.34979458356219,e-commerce,Online,0,2,0.06649599829540585,0
H00182,2025-09-19 23:45,12.866466752591863,subscription,Online,0,1,0.036322169381918706,0
H00183,2025-09-19 23:51,11.42457500999755,subscription,Online,0,1,0.07576427467092099,0
H00184,2025-09-19 23:56,12.967497441842664,e-commerce,Online,0,2,0.20317342832394644,0
H00185,2025-09-19 23:58,12.008858746235513,e-commerce,Jakarta,0,3,0.04036732007453937,0
H00186,2025-09-20 00:04,11.686424887591073,e-commerce,Jakarta,0,1,0.17078976549548092,0
H00187,2025-09-20 00:10,11.400954257872625,e-commerce,Online,0,2,0.1030316654301529,0
H00188,2025-09-20 00:12,12.62095659013809,e-commerce,Online,0,3,0.24651285455157812,0
H00189,2025-09-20 00:16,12.099750556597801,subscription,Jakarta,0,2,0.15692925893491536,0
H00190,2025-09-20 00:22,12.627637455127761,subscription,Online,0,2,0.20139117975686038,0
H00191,2025-09-20 00:25,13.204188495639956,subscription,Online,0,1,0.20244734990635144,0
H00192,2025-09-20 00:27,13.141000620021142,e-commerce,Online,0,3,0.12224718877679781,0
H00193,2025-09-20 00:33,13.044963840142826,e-commerce,Online,0,3,0.036576545715694235,0
H00194,2025-09-20 00:38,12.637189255940486,e-commerce,Online,0,3,0.04776267110271268,0
H00195,2025-09-20 00:41,11.623867375623949,subscription,Online,0,3,0.11952384480572507,0
H00196,2025-09-20 00:46,12.519926723535601,e-commerce,Jakarta,0,2,0.16848953630881083,0
H00197,2025-09-20 00:50,11.034905792929415,subscription,Online,0,2,0.1436598532913495,0
H00198,2025-09-20 00:55,11.67762601300678,e-commerce,Online,0,3,0.1961782437478059,0
H00199,2025-09-20 01:01,12.282760501206404,travel,Online,0,1,0.22495451602842573,0
H00200,2025-09-20 01:04,12.976079010187144,e-commerce,Online,0,1,0.07095034961559957,0
H00201,2025-09-20 01:06,13.089042346848823,e-commerce,Bandung,0,1,0.1024133122308853,0
H00202,2025-09-20 01:09,12.876168678059367,e-commerce,Online,0,2,0.08944551351132846,0
H00203,2025-09-20 01:14,12.164218868905785,e-commerce,Online,0,1,0.058791287053235025,0
H00204,2025-09-20 01:19,13.004307054408361,e-commerce,Online,0,2,0.14739013530130443,0
H00205,2025-09-20 01:20,12.030116784633707,subscription,Online,0,7,0.8217743751711364,1
H00206,2025-09-20 01:22,12.926241431786403,subscription,Online,0,3,0.02957444911569482,0
H00207,2025-09-20 01:25,13.058123478341415,e-commerce,Online,0,2,0.03498998759608517,0
H00208,2025-09-20 01:27,13.183283484972314,subscription,Online,0,1,0.1930988479793902,0
H00209,2025-09-20 01:31,13.002628938999479,subscription,Online,0,3,0.15243959234528595,0
H00210,2025-09-20 01:37,13.185415168906895,e-commerce,Online,0,2,0.23814057464514912,0
H00211,2025-09-20 01:41,12.26842753427694,e-commerce,Online,0,1,0.23264601420651174,0
H00212,2025-09-20 01:46,12.297858440160702,e-commerce,Online,0,2,0.18759144682912712,0
H00213,2025-09-20 01:49,11.891101592840721,subscription,Online,0,1,0.21812425876942673,0
H00214,2025-09-20 01:51,11.920568200326167,e-commerce,Online,0,2,0.053934553089959106,0
H00215,2025-09-20 01:56,12.777170829146057,e-commerce,Online,0,3,0.20565799777751503,0
H00216,2025-09-20 02:00,13.234911400931345,e-commerce,Bandung,0,1,0.17408503093607514,0
H00217,2025-09-20 02:03,12.054703094775771,travel,Online,0,3,0.2184357408358025,0
H00218,2025-09-20 02:05,12.99945422563589,e-commerce,Online,0,2,0.08426858535608721,0
H00219,2025-09-20 02:08,11.437932485928798,retail,Online,0,3,0.19363725271876966,0
H00220,2025-09-20 02:12,13.277721328186653,subscription,Online,0,3,0.03307276111326206,0
H00221,2025-09-20 02:16,12.73441593511387,e-commerce,Online,0,3,0.1892823234195541,0
H00222,2025-09-20 02:21,12.68641638114188,retail,Online,0,1,0.06375712927033489,0
H00223,2025-09-20 02:24,12.420772650221476,subscription,Online,0,3,0.23915456454867895,0
H00224,2025-09-20 02:26,13.269461819988228,e-commerce,Online,0,2,0.2464586318543476,0
H00225,2025-09-20 02:29,12.54532316201237,e-commerce,Online,0,3,0.11499579971088109,0
H00226,2025-09-20 02:33,11.674159569433698,e-commerce,Online,0,3,0.2326073603648823,0
H00227,2025-09-20 02:34,12.426043168108885,e-commerce,Online,0,7,0.8794067512306756,1
H00228,2025-09-20 02:36,12.833883653579926,retail,Online,0,3,0.16191286158974372,0
H00229,2025-09-20 02:42,13.039659799419894,e-commerce,Bandung,0,2,0.21956636819090752,0
H00230,2025-09-20 02:44,12.686042075806442,e-commerce,Online,0,1,0.21095628929900334,0
H00231,2025-09-20 02:49,12.22585566479098,e-commerce,Online,0,3,0.10122404664863652,0
H00232,2025-09-20 02:53,10.848462918270192,travel,Online,0,2,0.06563034715596884,0
H00233,2025-09-20 02:55,13.292252976655194,retail,Online,0,1,0.08770231473273504,0
H00234,2025-09-20 02:57,11.958220075241009,e-commerce,Online,0,1,0.021149881533670905,0
H00235,2025-09-20 03:01,12.400997775890346,e-commerce,Online,0,3,0.09765251650693686,0
H00236,2025-09-20 03:06,11.808650109065194,subscription,Online,0,3,0.18609871669045353,0
H00237,2025-09-20 03:11,12.097780057769276,e-commerce,Online,0,3,0.12615542370531788,0
H00238,2025-09-20 03:14,11.331954995047214,e-commerce,Online,0,2,0.052216993844116835,0
H00239,2025-09-20 03:16,12.36713651694419,subscription,Online,0,5,0.7754910682705888,1
H00240,2025-09-20 03:19,13.255988265657999,retail,Bandung,0,2,0.07987115324218905,0
H00241,2025-09-20 03:23,12.061295397508555,subscription,Jakarta,0,1,0.1555511742796754,0
H00242,2025-09-20 03:28,13.272423416242143,e-commerce,Online,0,1,0.0380801411899971,0
H00243,2025-09-20 03:34,12.895921893885026,subscription,Online,0,1,0.18818040710721984,0
H00244,2025-09-20 03:38,13.200181458584105,retail,Online,0,2,0.05129007658699146,0
H00245,2025-09-20 03:44,12.877107132644522,retail,Online,0,1,0.24314325635893863,0
H00246,2025-09-20 03:49,13.294440976907758,e-commerce,Online,0,1,0.19845071616263318,0
H00247,2025-09-20 03:52,12.775307733579396,retail,Online,0,1,0.10223388608282062,0
H00248,2025-09-20 03:55,13.13600194783721,travel,Online,0,3,0.06391656766623734,0
H00249,2025-09-20 03:59,11.161707035713075,e-commerce,Online,0,2,0.16710241850589944,0
H00250,2025-09-20 04:03,13.24050190542137,e-commerce,Online,0,2,0.241399307268007,0
H00251,2025-09-20 04:07,11.00258305776964,retail,Online,0,2,0.13491463033774512,0
H00252,2025-09-20 04:10,11.974758304040634,e-commerce,Online,0,2,0.13615202698748005,0
H00253,2025-09-20 04:14,13.030616441698783,e-commerce,Online,0,2,0.10081413103116464,0
H00254,2025-09-20 04:20,12.161530197029313,e-commerce,Online,0,3,0.15774512921544223,0
H00255,2025-09-20 04:22,11.199542605224037,e-commerce,Online,0,3,0.24394012559586553,0
H00256,2025-09-20 04:27,13.169508379512664,e-commerce,Online,0,1,0.12362096199370401,0
H00257,2025-09-20 04:29,12.712691432955522,e-commerce,Online,0,3,0.04100501142165584,0
H00258,2025-09-20 04:32,12.656211520549892,travel,Online,0,1,0.13681350083215033,0
H00259,2025-09-20 04:33,11.649281614210555,subscription,Online,0,6,0.8787393471268308,1
H00260,2025-09-20 04:37,13.004334061423435,travel,Online,0,2,0.23137794491208052,0
H00261,2025-09-20 04:42,12.314577213471685,retail,Online,0,2,0.1857663241343511,0
H00262,2025-09-20 04:46,12.791219718662004,e-commerce,Online,0,3,0.21091352425565504,0
H00263,2025-09-20 04:48,11.709380012230096,travel,Bandung,0,3,0.12642046775104937,0
H00264,2025-09-20 04:52,12.292718122253131,subscription,Online,0,1,0.04185392543602505,0
H00265,2025-09-20 04:56,11.088491581814447,e-commerce,Online,0,2,0.032752370134292844,0
H00266,2025-09-20 05:01,12.238830209768347,e-commerce,Jakarta,0,3,0.06124236279302579,0
H00267,2025-09-20 05:06,12.46662758184253,subscription,Online,0,3,0.11637130497685662,0
H00268,2025-09-20 05:10,13.042235166075459,e-commerce,Online,0,2,0.21363520705329264,0
H00269,2025-09-20 05:14,13.126801514288939,e-commerce,Online,0,2,0.13385170361338128,0
H00270,2025-09-20 05:15,11.81495413112893,e-commerce,Online,0,6,0.9563777669617679,1
H00271,2025-09-20 05:17,11.513865023446895,e-commerce,Online,0,7,0.7875663532600042,1
H00272,2025-09-20 05:22,12.419824230076971,e-commerce,Online,0,2,0.2418401265455449,0
H00273,2025-09-20 05:24,11.863835825579107,subscription,Online,0,6,0.9672420324677425,1
H00274,2025-09-20 05:27,12.872290463839278,e-commerce,Online,0,1,0.17744964679115452,0
H00275,2025-09-20 05:33,11.900457397268367,subscription,Online,0,3,0.24106843403111633,0
H00276,2025-09-20 05:38,12.545988944553942,e-commerce,Online,0,1,0.1731319563281048,0
H00277,2025-09-20 05:41,13.208537403913876,travel,Jakarta,0,1,0.14702002232913872,0
H00278,2025-09-20 05:45,12.64848665741654,retail,Online,0,3,0.13868855950463643,0
H00279,2025-09-20 05:51,13.23945639727679,e-commerce,Online,0,2,0.17060793620066994,0
H00280,2025-09-20 05:53,12.954775150112384,e-commerce,Online,0,2,0.1487452213563312,0
H00281,2025-09-20 05:54,11.680006472347898,e-commerce,Online,0,5,0.7846269817581178,1
H00282,2025-09-20 06:00,12.617788178967851,retail,Online,0,2,0.15647140857647798,0
H00283,2025-09-20 06:02,12.43490796793949,e-commerce,Online,0,2,0.24420966267516145,0
H00284,2025-09-20 06:07,13.257712117651831,subscription,Online,0,3,0.2170836364921053,0
H00285,2025-09-20 06:12,12.366433999134145,e-commerce,Online,0,2,0.04175290095784999,0
H00286,2025-09-20 06:17,12.666202690977611,retail,Online,0,1,0.21036925516207655,0
H00287,2025-09-20 06:19,12.343662665771719,subscription,Online,0,7,0.7625171791305815,1
H00288,2025-09-20 06:22,13.26906293788886,retail,Online,0,2,0.08242544925468372,0
H00289,2025-09-20 06:24,12.76689912884951,e-commerce,Online,0,2,0.06658759563292496,0
H00290,2025-09-20 06:30,13.154305744463906,e-commerce,Online,0,2,0.11017844841449578,0
H00291,2025-09-20 06:36,11.647124134915712,e-commerce,Jakarta,0,1,0.10096862012711648,0
H00292,2025-09-20 06:37,11.994771198892552,e-commerce,Online,0,7,0.8977093265392965,1
H00293,2025-09-20 06:41,12.008359239640168,e-commerce,Online,0,1,0.1455215276905866,0
H00294,2025-09-20 06:43,13.060066608328581,e-commerce,Online,0,3,0.09396767726655335,0
H00295,2025-09-20 06:47,12.747611744452108,e-commerce,Online,0,2,0.1529046198661715,0
H00296,2025-09-20 06:50,12.854457788116123,e-commerce,Online,0,3,0.14254708183768353,0
H00297,2025-09-20 06:52,11.52247967777504,e-commerce,Bandung,0,2,0.24394251243966453,0
H00298,2025-09-20 06:58,12.745392427335236,e-commerce,Bandung,0,1,0.06656371102426482,0
H00299,2025-09-20 07:00,11.487925555168905,e-commerce,Online,0,2,0.1958024789529158,0
H00300,2025-09-20 07:03,12.775386964585927,subscription,Bandung,0,3,0.03344200442397441,0
