transaction_id,timestamp,transaction_value,merchant_type,location,is_international,transaction_frequency_24h,is_fraud
G00142,2025-09-20 01:38,151408,retail,Bekasi,0,1,0
G00143,2025-09-20 01:43,856546,groceries,,0,3,0
G00144,2025-09-20 01:51,181229,groceries,Online,0,3,0
G00145,2025-09-20 01:55,1434343,retail,Jakarta,0,3,0
G00146,2025-09-20 01:59,347125,retail,Jakarta,0,1,0
G00147,2025-09-20 02:03,390209,groceries,Bandung,0,3,0
G00148,2025-09-20 02:08,287515,groceries,Online,0,2,0
G00149,2025-09-20 02:12,447619,electronics,Online,0,1,0
G00150,2025-09-20 02:15,409354,e-commerce,Online,0,7,1
G00151,2025-09-20 02:18,983687,retail,Bekasi,0,2,0
G00152,2025-09-20 02:21,1365005,e-commerce,Bekasi,0,2,0
G00153,2025-09-20 02:28,1335068,retail,Bandung,0,1,0
G00154,2025-09-20 02:32,264266,e-commerce,Bandung,0,2,0
G00155,2025-09-20 02:41,727406,e-commerce,,0,3,0
G00156,2025-09-20 02:48,_--_1324279,retail,Bekasi,0,3,0
G00157,2025-09-20 02:55,373390,retail,,0,3,0
G00158,2025-09-20 03:01,1052013,retail,Bekasi,0,2,0
G00159,2025-09-20 03:09,err_726165,retail,Bekasi,0,3,0
G00160,2025-09-20 03:16,378008,retail,Online,0,1,0
G00161,2025-09-20 03:21,233342,retail,Online,0,3,0
G00162,2025-09-20 03:30,541144,groceries,Bandung,0,2,0
G00163,2025-09-20 03:34,151245,electronics,,0,2,0
G00164,2025-09-20 03:37,506999,e-commerce,Online,0,7,1
G00165,2025-09-20 03:41,890539,retail,Online,0,3,0
G00166,2025-09-20 03:44,1215552,retail,Bandung,0,1,0
G00167,2025-09-20 03:51,832268,e-commerce,,0,2,0
G00168,2025-09-20 03:54,1128885,electronics,Bandung,0,3,0
G00169,2025-09-20 03:57,249991,groceries,Online,0,2,0
G00170,2025-09-20 04:03,560952,electronics,Bandung,0,1,0
G00171,2025-09-20 04:06,1039253,electronics,Bandung,0,2,0
G00172,2025-09-20 04:14,223351,retail,Jakarta,0,3,0
G00173,2025-09-20 04:22,938312,retail,Bekasi,0,3,0
G00174,2025-09-20 04:27,377800,travel,Jakarta,0,1,0
G00175,2025-09-20 04:35,716245,e-commerce,,0,2,0
G00176,2025-09-20 04:38,653524,e-commerce,Online,0,6,1
G00177,2025-09-20 04:45,1481686,groceries,Jakarta,0,1,0
G00178,2025-09-20 04:49,272003,retail,Online,0,1,0
G00179,2025-09-20 04:53,893059,retail,,0,1,0
G00180,2025-09-20 05:02,874228,groceries,Online,0,2,0
G00181,2025-09-20 05:08,235781,groceries,Bekasi,0,2,0
G00182,2025-09-20 05:12,977454,retail,,0,1,0
G00183,2025-09-20 05:15,251971,e-commerce,Bandung,0,1,0
G00184,2025-09-20 05:22,1078467,e-commerce,Bandung,0,2,0
G00185,2025-09-20 05:29,430316,travel,Bandung,0,3,0
G00186,2025-09-20 05:35,319230,e-commerce,Jakarta,0,1,0
G00187,2025-09-20 05:41,246725,travel,Bekasi,0,2,0
G00188,2025-09-20 05:47,770602,retail,,0,3,0
G00189,2025-09-20 05:56,broken_468666,electronics,,0,2,0
G00190,2025-09-20 06:00,775585,e-commerce,Jakarta,0,2,0
G00191,2025-09-20 06:08,1359189,groceries,,0,1,0
G00192,2025-09-20 06:14,1277631,retail,Bekasi,0,3,0
G00193,2025-09-20 06:18,1163136,retail,Bekasi,0,3,0
G00194,2025-09-20 06:24,782767,retail,Bandung,0,3,0
G00195,2025-09-20 06:27,301525,retail,Bekasi,0,3,0
G00196,2025-09-20 06:32,__699174,groceries,Bekasi,0,2,0
G00197,2025-09-20 06:38,179455,e-commerce,Bandung,0,2,0
G00198,2025-09-20 06:42,__316671,retail,Jakarta,0,3,0
G00199,2025-09-20 06:49,557308,retail,Jakarta,0,1,0
G00200,2025-09-20 06:56,1087526,retail,,0,1,0
G00201,2025-09-20 07:01,1214323,travel,Jakarta,0,1,0
G00202,2025-09-20 07:09,986715,retail,Jakarta,0,2,0
G00203,2025-09-20 07:18,498057,groceries,Bandung,0,1,0
G00204,2025-09-20 07:23,badval_1117882,retail,Jakarta,0,2,0
G00205,2025-09-20 07:25,5352436,electronics,Singapo,0,7,1
G00206,2025-09-20 07:30,1035982,retail,Jakarta,0,3,0
G00207,2025-09-20 07:39,_--_1178183,electronics,Bekasi,0,2,0
G00208,2025-09-20 07:42,1331633,groceries,Jakarta,0,1,0
G00209,2025-09-20 07:51,1116054,retail,Jakarta,0,3,0
G00210,2025-09-20 08:00,1334417,retail,Bekasi,0,2,0
G00211,2025-09-20 08:06,broken_549766,travel,Bekasi,0,1,0
G00212,2025-09-20 08:10,565372,retail,Bandung,0,2,0
G00213,2025-09-20 08:19,385541,groceries,,0,1,0
G00214,2025-09-20 08:22,badval_396256,electronics,Bandung,0,2,0
G00215,2025-09-20 08:28,896284,travel,Jakarta,0,3,0
G00216,2025-09-20 08:35,1400744,travel,,0,1,0
G00217,2025-09-20 08:43,449222,retail,Jakarta,0,3,0
G00218,2025-09-20 08:51,1112603,groceries,Bekasi,0,2,0
G00219,2025-09-20 08:57,254992,groceries,Bandung,0,3,0
G00220,2025-09-20 09:02,1460819,e-commerce,Bekasi,0,3,0
G00221,2025-09-20 09:10,859911,groceries,,0,3,0
G00222,2025-09-20 09:19,820890,groceries,Bandung,0,1,0
G00223,2025-09-20 09:26,635747,retail,,0,3,0
G00224,2025-09-20 09:35,1449028,e-commerce,Jakarta,0,2,0
G00225,2025-09-20 09:40,716456,e-commerce,Bekasi,0,3,0
G00226,2025-09-20 09:48,315670,travel,Jakarta,0,3,0
G00227,2025-09-20 09:49,583235,e-commerce,Jakarta,0,7,1
G00228,2025-09-20 09:57,946992,electronics,,0,3,0
G00229,2025-09-20 10:05,1157127,travel,Jakarta,0,2,0
G00230,2025-09-20 10:14,820592,retail,,0,1,0
G00231,2025-09-20 10:23,__527989,retail,Online,0,3,0
G00232,2025-09-20 10:30,153570,travel,Bandung,0,2,0
G00233,2025-09-20 10:35,broken_1481802,groceries,Bekasi,0,1,0
G00234,2025-09-20 10:38,410413,retail,Online,0,1,0
G00235,2025-09-20 10:46,623834,groceries,Jakarta,0,3,0
G00236,2025-09-20 10:55,357187,groceries,Bandung,0,3,0
G00237,2025-09-20 11:02,467795,retail,,0,3,0
G00238,2025-09-20 11:09,232092,electronics,Online,0,2,0
G00239,2025-09-20 11:12,err_858652,e-commerce,Jakarta,0,4,1
G00240,2025-09-20 11:19,1430001,groceries,Bekasi,0,2,0
G00241,2025-09-20 11:28,452013,electronics,,0,1,0
G00242,2025-09-20 11:31,1453245,electronics,Jakarta,0,1,0
G00243,2025-09-20 11:39,badval_1005857,retail,Bekasi,0,1,0
G00244,2025-09-20 11:43,1353862,retail,Online,0,2,0
G00245,2025-09-20 11:46,987617,retail,,0,1,0
G00246,2025-09-20 11:54,1484989,retail,Bekasi,0,1,0
G00247,2025-09-20 12:00,894667,retail,Jakarta,0,1,0
G00248,2025-09-20 12:03,1271396,e-commerce,Bekasi,0,3,0
G00249,2025-09-20 12:12,200028,retail,,0,2,0
G00250,2025-09-20 12:18,1408444,retail,Jakarta,0,2,0
G00251,2025-09-20 12:25,174616,retail,Jakarta,0,2,0
G00252,2025-09-20 12:30,416802,retail,,0,2,0
G00253,2025-09-20 12:33,1146956,retail,Online,0,2,0
G00254,2025-09-20 12:39,496793,groceries,,0,3,0
G00255,2025-09-20 12:46,206690,groceries,Online,0,3,0
G00256,2025-09-20 12:49,1313789,groceries,Bekasi,0,1,0
G00257,2025-09-20 12:58,842017,retail,Bekasi,0,3,0
G00258,2025-09-20 13:07,797276,groceries,Bekasi,0,1,0
G00259,2025-09-20 13:13,576779,electronics,Bekasi,0,1,0
G00260,2025-09-20 13:17,badval_1117912,e-commerce,Online,0,2,0
G00261,2025-09-20 13:25,574444,groceries,Jakarta,0,2,0
G00262,2025-09-20 13:32,908577,e-commerce,Bekasi,0,3,0
G00263,2025-09-20 13:35,326010,retail,Bandung,0,3,0
G00264,2025-09-20 13:38,562612,travel,Bekasi,0,1,0
G00265,2025-09-20 13:45,187832,e-commerce,,0,2,0
G00266,2025-09-20 13:54,534527,e-commerce,Online,0,3,0
G00267,2025-09-20 14:03,664299,e-commerce,Jakarta,0,3,0
G00268,2025-09-20 14:12,1160042,retail,Jakarta,0,2,0
G00269,2025-09-20 14:15,1260003,retail,Online,0,2,0
G00270,2025-09-20 14:16,518948,e-commerce,,0,6,1
G00271,2025-09-20 14:22,1399590,groceries,,0,1,0
G00272,2025-09-20 14:30,635170,electronics,Jakarta,0,2,0
G00273,2025-09-20 14:33,817083,groceries,Bekasi,0,3,0
G00274,2025-09-20 14:37,983003,retail,Jakarta,0,1,0
G00275,2025-09-20 14:42,388908,groceries,Bekasi,0,3,0
G00276,2025-09-20 14:51,716915,retail,,0,1,0
G00277,2025-09-20 14:59,1364994,e-commerce,Bandung,0,1,0
G00278,2025-09-20 15:05,791351,groceries,Bekasi,0,3,0
G00279,2025-09-20 15:14,1407000,retail,Bandung,0,2,0
G00280,2025-09-20 15:20,1065178,retail,Bekasi,0,2,0
G00281,2025-09-20 15:23,431503,e-commerce,Jakarta,0,4,1
G00282,2025-09-20 15:29,768253,electronics,Jakarta,0,2,0
G00283,2025-09-20 15:37,644411,retail,,0,2,0
G00284,2025-09-20 15:45,1432419,e-commerce,Bandung,0,3,0
G00285,2025-09-20 15:54,603565,groceries,Bandung,0,2,0
G00286,2025-09-20 15:58,805010,retail,Bekasi,0,1,0
G00287,2025-09-20 16:00,6691116,electronics,Singapo,0,7,1
G00288,2025-09-20 16:06,1448460,travel,Jakarta,0,2,0
G00289,2025-09-20 16:14,_--_887402,retail,,0,2,0
G00290,2025-09-20 16:17,1294379,groceries,Jakarta,0,2,0
G00291,2025-09-20 16:25,307978,retail,Jakarta,0,1,0
G00292,2025-09-20 16:29,1352751,groceries,,0,1,0
G00293,2025-09-20 16:36,430113,retail,Online,0,1,0
G00294,2025-09-20 16:39,__1180421,retail,,0,3,0
G00295,2025-09-20 16:42,870972,groceries,Online,0,2,0
G00296,2025-09-20 16:51,__966109,e-commerce,Bekasi,0,3,0
G00297,2025-09-20 16:55,broken_275081,retail,Online,0,2,0
G00298,2025-09-20 16:59,_--_869101,groceries,Bekasi,0,1,0
G00299,2025-09-20 17:05,__266666,e-commerce,Online,0,2,0
G00300,2025-09-20 17:10,broken_894734,groceries,Jakarta,0,3,0
G00301,2025-09-20 17:17,698651,e-commerce,Bandung,0,2,0
G00302,2025-09-20 17:20,421963,groceries,Bandung,0,1,0
G00303,2025-09-20 17:23,812993,retail,Bekasi,0,1,0
G00304,2025-09-20 17:27,439433,retail,Jakarta,0,3,0
G00305,2025-09-20 17:32,261738,retail,Jakarta,0,1,0
G00306,2025-09-20 17:36,196118,groceries,Online,0,3,0
G00307,2025-09-20 17:41,610876,retail,Bandung,0,3,0
G00308,2025-09-20 17:45,1156506,groceries,,0,1,0
G00309,2025-09-20 17:48,928149,e-commerce,Online,0,2,0
G00310,2025-09-20 17:57,318565,retail,Bandung,0,2,0
G00311,2025-09-20 18:03,749156,retail,Bekasi,0,3,0
G00312,2025-09-20 18:10,935901,e-commerce,Bekasi,0,3,0
G00313,2025-09-20 18:18,465745,retail,Online,0,1,0
G00314,2025-09-20 18:27,336196,retail,,0,1,0
G00315,2025-09-20 18:36,485932,groceries,,0,3,0
G00316,2025-09-20 18:39,239838,travel,Online,0,2,0
G00317,2025-09-20 18:47,477045,groceries,Jakarta,0,1,0
G00318,2025-09-20 18:56,_--_870352,retail,,0,2,0
G00319,2025-09-20 19:04,1232085,groceries,Online,0,1,0
G00320,2025-09-20 19:12,1328679,retail,Online,0,1,0
G00321,2025-09-20 19:17,1058607,retail,Bekasi,0,3,0
G00322,2025-09-20 19:20,630619,groceries,Online,0,1,0
G00323,2025-09-20 19:28,1410773,groceries,Online,0,3,0
G00324,2025-09-20 19:37,1390957,travel,Jakarta,0,1,0
G00325,2025-09-20 19:44,633107,e-commerce,Bekasi,0,1,0
G00326,2025-09-20 19:49,badval_163914,e-commerce,Bekasi,0,3,0
G00327,2025-09-20 19:54,735625,electronics,Online,0,1,0
G00328,2025-09-20 20:02,778747,retail,Jakarta,0,2,0
G00329,2025-09-20 20:07,1063805,groceries,Jakarta,0,2,0
G00330,2025-09-20 20:13,348131,travel,,0,2,0
G00331,2025-09-20 20:21,885348,groceries,Jakarta,0,2,0
G00332,2025-09-20 20:30,576303,retail,Online,0,1,0
G00333,2025-09-20 20:34,818792,travel,Bandung,0,1,0
G00334,2025-09-20 20:39,__182037,retail,Bekasi,0,1,0
G00335,2025-09-20 20:47,863283,retail,Jakarta,0,1,0
G00336,2025-09-20 20:50,197719,groceries,Bandung,0,2,0
G00337,2025-09-20 20:56,1301834,retail,Bekasi,0,2,0
G00338,2025-09-20 21:04,err_1112298,groceries,Online,0,1,0
G00339,2025-09-20 21:08,1392880,retail,Bekasi,0,1,0
G00340,2025-09-20 21:16,1033629,retail,Bandung,0,3,0
G00341,2025-09-20 21:21,_--_1471469,retail,Bekasi,0,1,0
G00342,2025-09-20 21:30,broken_431252,retail,Jakarta,0,2,0
G00343,2025-09-20 21:37,badval_158132,groceries,Bandung,0,3,0
G00344,2025-09-20 21:42,1366551,e-commerce,Bekasi,0,3,0
G00345,2025-09-20 21:48,1040551,retail,,0,3,0
G00346,2025-09-20 21:51,badval_1078768,e-commerce,Bandung,0,2,0
G00347,2025-09-20 21:54,541729,electronics,,0,2,0
G00348,2025-09-20 22:02,603833,groceries,Bandung,0,3,0
G00349,2025-09-20 22:10,1066620,travel,Jakarta,0,3,0
G00350,2025-09-20 22:15,700331,groceries,Bandung,0,1,0
G00351,2025-09-20 22:23,252724,travel,Online,0,3,0
G00352,2025-09-20 22:29,544950,retail,Online,0,3,0
G00353,2025-09-20 22:34,668848,e-commerce,Online,0,3,0
G00354,2025-09-20 22:43,1271307,retail,Bandung,0,1,0
G00355,2025-09-20 22:50,614301,electronics,Bekasi,0,2,0
G00356,2025-09-20 22:59,816845,retail,,0,1,0
G00357,2025-09-20 23:06,957236,retail,Bekasi,0,1,0
G00358,2025-09-20 23:11,332665,groceries,Jakarta,0,2,0
G00359,2025-09-20 23:15,935790,retail,Bandung,0,1,0
G00360,2025-09-20 23:21,422313,retail,Bandung,0,1,0
G00361,2025-09-20 23:27,1335448,retail,Jakarta,0,1,0
G00362,2025-09-20 23:36,550381,retail,Bekasi,0,2,0
G00363,2025-09-20 23:39,561023,retail,,0,1,0
G00364,2025-09-20 23:42,694256,retail,Bandung,0,3,0
G00365,2025-09-20 23:49,636577,retail,Bekasi,0,3,0
G00366,2025-09-20 23:56,950063,e-commerce,Jakarta,0,3,0
G00367,2025-09-21 00:05,1125994,retail,Jakarta,0,3,0
G00368,2025-09-21 00:10,1451622,groceries,Bekasi,0,2,0
G00369,2025-09-21 00:13,1348951,groceries,,0,2,0
G00370,2025-09-21 00:17,503603,groceries,Jakarta,0,3,0
G00371,2025-09-21 00:26,965171,groceries,Jakarta,0,2,0
G00372,2025-09-21 00:32,593344,groceries,Jakarta,0,2,0
G00373,2025-09-21 00:36,1237402,groceries,Jakarta,0,2,0
G00374,2025-09-21 00:39,182335,groceries,Online,0,1,0
G00375,2025-09-21 00:45,1493170,retail,Online,0,3,0
G00376,2025-09-21 00:54,broken_652945,retail,,0,3,0
G00377,2025-09-21 00:59,1155141,retail,Bandung,0,3,0
G00378,2025-09-21 01:05,1061354,retail,Bandung,0,1,0
G00379,2025-09-21 01:09,645509,groceries,Jakarta,0,3,0
G00380,2025-09-21 01:12,1450132,e-commerce,Bekasi,0,1,0
G00381,2025-09-21 01:17,510701,groceries,Bandung,0,1,0
G00382,2025-09-21 01:21,err_1149255,e-commerce,Online,0,1,0
G00383,2025-09-21 01:26,1403736,e-commerce,Bekasi,0,1,0
G00384,2025-09-21 01:35,309295,retail,Bandung,0,1,0
G00385,2025-09-21 01:44,1387998,groceries,Bekasi,0,3,0
G00386,2025-09-21 01:52,1351552,retail,Online,0,1,0
G00387,2025-09-21 01:59,662711,retail,Online,0,3,0
G00388,2025-09-21 02:08,1282216,electronics,Bekasi,0,1,0
G00389,2025-09-21 02:13,158566,e-commerce,Bekasi,0,2,0
G00390,2025-09-21 02:19,_--_405180,retail,Jakarta,0,2,0
G00391,2025-09-21 02:22,1165769,e-commerce,Bandung,0,3,0
G00392,2025-09-21 02:30,1411362,e-commerce,,0,3,0
G00393,2025-09-21 02:38,320105,retail,Bandung,0,3,0
G00394,2025-09-21 02:42,1114033,retail,,0,3,0
G00395,2025-09-21 02:45,664741,e-commerce,Online,0,7,1
G00396,2025-09-21 02:52,__1206803,groceries,Bekasi,0,1,0
G00397,2025-09-21 02:55,err_1360023,retail,,0,2,0
G00398,2025-09-21 03:02,broken_769838,retail,Bandung,0,1,0
G00399,2025-09-21 03:11,__286026,retail,Online,0,2,0
G00400,2025-09-21 03:15,420922,electronics,Online,0,2,0
G00401,2025-09-21 03:18,834549,retail,Jakarta,0,1,0
G00402,2025-09-21 03:22,1228792,retail,Online,0,1,0
G00403,2025-09-21 03:28,broken_851430,groceries,Bekasi,0,3,0
G00404,2025-09-21 03:32,_--_794547,groceries,,0,2,0
G00405,2025-09-21 03:40,960477,retail,Jakarta,0,3,0
G00406,2025-09-21 03:47,_--_1456030,groceries,Bandung,0,2,0
G00407,2025-09-21 03:56,1215750,groceries,Online,0,2,0
G00408,2025-09-21 04:01,badval_357001,retail,Bekasi,0,3,0
G00409,2025-09-21 04:04,badval_415271,e-commerce,Bekasi,0,1,0
G00410,2025-09-21 04:10,629794,travel,Online,0,1,0
G00411,2025-09-21 04:19,515850,retail,Jakarta,0,3,0
G00412,2025-09-21 04:28,1142988,retail,Bandung,0,3,0
G00413,2025-09-21 04:33,1489488,retail,,0,1,0
G00414,2025-09-21 04:36,badval_922580,electronics,Bandung,0,2,0
G00415,2025-09-21 04:39,838652,e-commerce,,0,7,1
G00416,2025-09-21 04:48,734921,e-commerce,Jakarta,0,3,0
G00417,2025-09-21 04:57,1078806,electronics,,0,2,0
G00418,2025-09-21 05:02,1097174,retail,,0,1,0
G00419,2025-09-21 05:08,546543,electronics,Online,0,3,0
G00420,2025-09-21 05:17,1140023,electronics,Online,0,3,0
G00421,2025-09-21 05:26,872666,e-commerce,Bandung,0,2,0
